ratingCategory,FactData__factName,FactData__factLink,FactData__factDesc,categoryID,,reset,objectName,riskCategory2
Multipurpose,930 Incorporated,https://www.discord.gg/e8hvmex,"930 Inc is a utility faction that focuses on salvage, repair and refuel. We are a sub faction of The Argentavian Federation.",1,Rating Category1,All Factions,182,Low
Multipurpose,Argentavian Federation,https://www.discord.gg/gY66MqN,"A neutral economically and militarily focused nation, with many subsidiary corporations. We operate various corporations in many different sectors, as well as operating in military development through our navy and marine corps. We aim to bring prosperity to ourselves and our allies.",1,Rating Category1,All Factions,83,Low
Multipurpose,Collective,https://www.discord.gg/VnU8apR,"Technocratic hive mind aiming to be the state-of-the-art in tech, with goals such as Von Neumann probes. We dedicate personnel to military, diplomacy, trade, industry and everything else that is needed to ensure our goals are reached.",1,Rating Category1,All Factions,93,High
Multipurpose,Cult of Clang,https://www.discord.gg/VmFsJRh,A huge (100+) multiserver space engineers faction that worships the physics engine. We are peaceful to those who know who acknowledge clang as the one true creator,1,Rating Category1,All Factions,48,Low
Multipurpose,Dark Star Imperium,https://www.discord.gg/2vkazux,Veteran owned and operated PvP Community,1,Rating Category1,All Factions,74,Low
Multipurpose,Driss,https://www.discord.gg/qZkFJwg,"Regardless of your gameplay style, we will have a place for you in Driss, whether you're a friendly merchant, a cunning leader, or a bloodthirsty warrior.",1,Rating Category1,All Factions,31,Low
Multipurpose,The Free United Nation,https://www.discord.gg/ebHws5F,"We are a peaceful and simple faction that trades, manufactures and mines. Nevertheless, we are not entirely unprotected with our own military units.",1,Rating Category1,All Factions,90,Low
Multipurpose,Gemini Outpost - Last Findings [GOLF],https://www.discord.gg/b8uwCmB,"Station construction, trade, ore processing, automation.Our goal is to build from zero a huge trade hub in space. Language English, second language is Russian.",1,Rating Category1,All Factions,42,Low
Multipurpose,Havok Combat Systems,https://www.discord.gg/G3RZcy2,A designing and building faction. Merged with the Argentavian Federation,1,Rating Category1,All Factions,151,Low
Multipurpose,IDC � Ice Defense Corporation,https://www.discord.gg/hpZMfvh,Military and trading,1,Rating Category1,All Factions,68,Low
Multipurpose,Legacy,https://www.discord.gg/veritas,"Known also as Imperium, OwO, and Veritas - we are a multi-purpose faction with a rich history in survival and sandbox MMO games. Our group runs as a stratocracy with priorities covering logistics and PvP for ourselves and allies.",1,Rating Category1,All Factions,159,Low
Multipurpose,LingCORP,https://www.discord.gg/A4fFCPu,A multipurpose faction specializing mostly in spaceships and trading -subsidiary of Argentavian Federation. https://lingontuva.wixsite.com/lingcorp,1,Rating Category1,All Factions,34,Low
Multipurpose,Lykain Contracting & Dire Industries,https://www.discord.gg/jbEax9J,"We�re a joint force group dedicated to contracting with clients in need of military assistance. This varies from escorts, mercenaries, and bounties. Dire Industries is the industrial portion of mix. They focus on developing efficient ship designs and selling materials to the open market.",1,Rating Category1,All Factions,2,Low
Multipurpose,MooNDust inc,https://www.discord.gg/PJkVbSF,"Weare salvage, mining and logistics company and we do the odd jobs.",1,Rating Category1,All Factions,62,Low
Multipurpose,Penumbra,https://www.discord.gg/p7cNk7m,A corporation with multiple subdivisions including manufacturing and private military with plans on expanding to include more as we grow.,1,Rating Category1,All Factions,4,Low
Multipurpose,Phoenix Industries,https://www.discord.gg/eBHJCM2,Parent organization with two major subsidiaries; Ohnjay's Mining Operation and Harbinger's Forge,1,Rating Category1,All Factions,171,Low
Multipurpose,The Rapscallions,https://www.discord.gg/2SrBJSV,The chillest pilots this side of the galaxy,1,Rating Category1,All Factions,15,Low
Multipurpose,The Republic of Chimera,https://www.discord.gg/8FthtVz,"We are a multipurpose faction that works to better the people. we have a democratic system to help benefit all of our citizens and business, so we hope to see you there",1,Rating Category1,All Factions,145,Low
Multipurpose,Ronin Industries,https://www.discord.gg/F6Ypese,Ronin Industries is a ship building/design and mercenary company that focuses on helping players that are busy IRL,1,Rating Category1,All Factions,67,Low
Multipurpose,Sons of the Seven,https://www.discord.gg/sQ8gMeb,We are a tried and tested multi-purpose faction with deep mercantilism expertise and diplomatic experience backed by a hardcore static PVP roster.,1,Rating Category1,All Factions,190,Low
Multipurpose,Starsteel Industries,https://www.discord.gg/n9kUvPJ,Manufacturing and Trading,1,Rating Category1,All Factions,139,Low
Multipurpose,Steel Space Division,https://www.discord.gg/3SXRSsE,"A industry-based faction focused on mining, building ships, trading and providing resources.English/Dutch community. A part of the Argentavian Federation as a sub-comp.",1,Rating Category1,All Factions,146,Low
Multipurpose,Terran Conglomerate - TRC,https://www.discord.gg/CduUBpC,A multi-purpose organization designed to work as a Military Trading Corporation.,1,Rating Category1,All Factions,60,Low
Multipurpose,TUSE - The United Shattered Empire,https://www.discord.gg/XkyYCbY,We are one of the older Starbase factions out there. And as a faction we are striving to become self sufficient with a heavy focus on trading and security services.,1,Rating Category1,All Factions,170,Low
Multipurpose,United Army of Engineers (U.A.E.),https://www.discord.gg/mG8XMw9,"Trade fac and Research fac for advanced tec and design, Eng/Ger Community.",1,Rating Category1,All Factions,72,Low
Multipurpose,uRxP,https://www.discord.gg/VVnpVh6,"uRxP is an organized survival gaming group. We are the fighters, economists, engineers, architects, and explorers of the expanse. We settle the stars and spread fortune throughout the galaxies. Our allies will see strength and our enemies will see destruction.",1,Rating Category1,All Factions,52,Low
Trading Factions,The Capital Of Capitalism,https://www.discord.gg/hqxRCw7,Trading Corporation,2,Rating Category2,All Factions,168,Low
Trading Factions,IGT - Inter-Galactic Trade Company,https://www.discord.gg/ypPUrWA,,2,Rating Category2,All Factions,173,Low
Trading Factions,Mortem Security,https://www.discord.gg/WB2URjC,A Mature (18+) Arms Dealer and Developer faction,2,Rating Category2,All Factions,7,Low
Trading Factions,Republic Transport Company,https://www.discord.gg/SquEsju,A neutral trade corporation with branches in mining and manufacturing.,2,Rating Category2,All Factions,192,Low
Trading Factions,STAR Industries,https://www.discord.gg/zTRMnA9,A trading and navigation faction,2,Rating Category2,All Factions,8,Low
Trading Factions,Stellyx Corp,https://www.discord.gg/8cE363n,"A trading faction that will have three main specializations - mining, tech and military",2,Rating Category2,All Factions,6,Low
Trading Factions,The Trade Federation,https://www.discord.gg/4NEADE7,,2,Rating Category2,All Factions,188,Low
Trading Factions,UTFE (United Trade Federation of Eterra) aka. Ettera,https://www.discord.gg/57V86AJ,A neutral trading federation,2,Rating Category2,All Factions,9,Low
Trading Factions,Waxing Gibbous Federation,https://www.discord.gg/uh3UwRV,"A faction that specializes in arms dealing, trading, and mining.",2,Rating Category2,All Factions,12,Low
Design and building,Aegis Dynamics,https://www.discord.gg/XCJJQWr -,"A neutral ship manufacturer that intends to design, create, and sell ships to other members of the Starbase community.",3,Rating Category3,All Factions,117,Low
Design and building,Asage Fleetworks,https://www.discord.gg/gjXnJGs,Engineering firm focusing on large scale integrated fleet logistics and design,3,Rating Category3,All Factions,59,Low
Design and building,Bobtilian Industies,https://www.discord.gg/aKbapza,A corporation focused on the production of ships and stations as well as some yolol software.,3,Rating Category3,All Factions,94,Low
Design and building,Cyber Magic,https://www.discord.gg/4xprHZq,Ship Traders and Designers,3,Rating Category3,All Factions,13,Low
Design and building,Seekers,https://www.discord.gg/uP2sT9S,"Neutral faction focused around designing, building and YOLOL programming ships and stations.",3,Rating Category3,All Factions,14,Low
Design and building,TEST Outfit,https://www.discord.gg/8DejYGT,We plan on designing ships for deep space exploration,3,Rating Category3,All Factions,187,Low
Design and building,Objective Driveyards - ODY,https://www.discord.gg/BYJ4rP8,"Our community primarily specializes in building ships, although we have three separate branches. These are the navy(protection and security of our org), dynamics(building), and industry(mining).",3,Rating Category3,All Factions,16,Low
Design and building,Quasar Systems,https://www.discord.gg/YvWMVEq,Quasar Systems is an independent shipbuilding company. We are a neutral faction but will work with factions and players for custom orders.,3,Rating Category3,All Factions,10,Low
